Station,DateTime,date,time,TideHeight,est_time,est_date,dateFactor
"Portland, Casco Bay, Maine",2024-02-18T08:00:00Z,2024-02-18,2024-03-04T08:00:00Z,1.7776441666245077,2024-02-18T08:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T08:10:00Z,2024-02-18,2024-03-04T08:10:00Z,1.8795516077478056,2024-02-18T08:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T08:20:00Z,2024-02-18,2024-03-04T08:20:00Z,1.9788087655982636,2024-02-18T08:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T08:30:00Z,2024-02-18,2024-03-04T08:30:00Z,2.0746957801461776,2024-02-18T08:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T08:40:00Z,2024-02-18,2024-03-04T08:40:00Z,2.166563504967375,2024-02-18T08:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T08:50:00Z,2024-02-18,2024-03-04T08:50:00Z,2.2538383868502687,2024-02-18T08:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:00:00Z,2024-02-18,2024-03-04T09:00:00Z,2.3360238413599768,2024-02-18T09:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:10:00Z,2024-02-18,2024-03-04T09:10:00Z,2.4126982462099518,2024-02-18T09:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:20:00Z,2024-02-18,2024-03-04T09:20:00Z,2.4835098761793413,2024-02-18T09:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:30:00Z,2024-02-18,2024-03-04T09:30:00Z,2.548169284215084,2024-02-18T09:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:40:00Z,2024-02-18,2024-03-04T09:40:00Z,2.606439781862524,2024-02-18T09:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T09:50:00Z,2024-02-18,2024-03-04T09:50:00Z,2.6581267789850256,2024-02-18T09:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:00:00Z,2024-02-18,2024-03-04T10:00:00Z,2.703066801108642,2024-02-18T10:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:10:00Z,2024-02-18,2024-03-04T10:10:00Z,2.7411170090361643,2024-02-18T10:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:20:00Z,2024-02-18,2024-03-04T10:20:00Z,2.7721459992551205,2024-02-18T10:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:30:00Z,2024-02-18,2024-03-04T10:30:00Z,2.7960265680340246,2024-02-18T10:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:40:00Z,2024-02-18,2024-03-04T10:40:00Z,2.8126309830727654,2024-02-18T10:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T10:50:00Z,2024-02-18,2024-03-04T10:50:00Z,2.82182913294246,2024-02-18T10:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:00:00Z,2024-02-18,2024-03-04T11:00:00Z,2.823489727331829,2024-02-18T11:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:10:00Z,2024-02-18,2024-03-04T11:10:00Z,2.817484512811473,2024-02-18T11:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:20:00Z,2024-02-18,2024-03-04T11:20:00Z,2.803695262624564,2024-02-18T11:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:30:00Z,2024-02-18,2024-03-04T11:30:00Z,2.782023107978918,2024-02-18T11:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:40:00Z,2024-02-18,2024-03-04T11:40:00Z,2.752399614551413,2024-02-18T11:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T11:50:00Z,2024-02-18,2024-03-04T11:50:00Z,2.7147988817845565,2024-02-18T11:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:00:00Z,2024-02-18,2024-03-04T12:00:00Z,2.669249862063918,2024-02-18T12:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:10:00Z,2024-02-18,2024-03-04T12:10:00Z,2.6158480670933346,2024-02-18T12:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:20:00Z,2024-02-18,2024-03-04T12:20:00Z,2.5547658516530976,2024-02-18T12:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:30:00Z,2024-02-18,2024-03-04T12:30:00Z,2.4862605389725054,2024-02-18T12:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:40:00Z,2024-02-18,2024-03-04T12:40:00Z,2.4106797725421236,2024-02-18T12:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T12:50:00Z,2024-02-18,2024-03-04T12:50:00Z,2.328463638696965,2024-02-18T12:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:00:00Z,2024-02-18,2024-03-04T13:00:00Z,2.2401432926993166,2024-02-18T13:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:10:00Z,2024-02-18,2024-03-04T13:10:00Z,2.14633602646448,2024-02-18T13:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:20:00Z,2024-02-18,2024-03-04T13:20:00Z,2.0477369255769857,2024-02-18T13:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:30:00Z,2024-02-18,2024-03-04T13:30:00Z,1.9451074637023091,2024-02-18T13:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:40:00Z,2024-02-18,2024-03-04T13:40:00Z,1.839261561330032,2024-02-18T13:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T13:50:00Z,2024-02-18,2024-03-04T13:50:00Z,1.731049781819552,2024-02-18T13:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:00:00Z,2024-02-18,2024-03-04T14:00:00Z,1.6213424419073836,2024-02-18T14:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:10:00Z,2024-02-18,2024-03-04T14:10:00Z,1.5110124697482883,2024-02-18T14:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:20:00Z,2024-02-18,2024-03-04T14:20:00Z,1.4009188478868186,2024-02-18T14:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:30:00Z,2024-02-18,2024-03-04T14:30:00Z,1.291891431245937,2024-02-18T14:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:40:00Z,2024-02-18,2024-03-04T14:40:00Z,1.1847178344942981,2024-02-18T14:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T14:50:00Z,2024-02-18,2024-03-04T14:50:00Z,1.0801329452950497,2024-02-18T14:50:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:00:00Z,2024-02-18,2024-03-04T15:00:00Z,0.9788114489295298,2024-02-18T15:00:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:10:00Z,2024-02-18,2024-03-04T15:10:00Z,0.8813635566347743,2024-02-18T15:10:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:20:00Z,2024-02-18,2024-03-04T15:20:00Z,0.7883339271083362,2024-02-18T15:20:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:30:00Z,2024-02-18,2024-03-04T15:30:00Z,0.7002035710526654,2024-02-18T15:30:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:40:00Z,2024-02-18,2024-03-04T15:40:00Z,0.6173943450493375,2024-02-18T15:40:00Z,2024-02-18,a20240218
"Portland, Casco Bay, Maine",2024-02-18T15:50:00Z,2024-02-18,2024-03-04T15:50:00Z,0.5402754852126006,2024-02-18T15:50:00Z,2024-02-18,a20240218
