Station,DateTime,date,time,TideHeight,est_time,est_date,dateFactor
"Portland, Casco Bay, Maine",2024-04-15T07:00:00Z,2024-04-15,2024-04-30T07:00:00Z,2.346658261519949,2024-04-15T07:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T07:10:00Z,2024-04-15,2024-04-30T07:10:00Z,2.422926087297536,2024-04-15T07:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T07:20:00Z,2024-04-15,2024-04-30T07:20:00Z,2.4932284046425517,2024-04-15T07:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T07:30:00Z,2024-04-15,2024-04-30T07:30:00Z,2.557220010602215,2024-04-15T07:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T07:40:00Z,2024-04-15,2024-04-30T07:40:00Z,2.614626995659731,2024-04-15T07:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T07:50:00Z,2024-04-15,2024-04-30T07:50:00Z,2.665238114101737,2024-04-15T07:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:00:00Z,2024-04-15,2024-04-30T08:00:00Z,2.7088945480234012,2024-04-15T08:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:10:00Z,2024-04-15,2024-04-30T08:10:00Z,2.7454788497212466,2024-04-15T08:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:20:00Z,2024-04-15,2024-04-30T08:20:00Z,2.7749038841311653,2024-04-15T08:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:30:00Z,2024-04-15,2024-04-30T08:30:00Z,2.797102577507119,2024-04-15T08:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:40:00Z,2024-04-15,2024-04-30T08:40:00Z,2.8120192116786815,2024-04-15T08:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T08:50:00Z,2024-04-15,2024-04-30T08:50:00Z,2.8196028892441474,2024-04-15T08:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:00:00Z,2024-04-15,2024-04-30T09:00:00Z,2.8198036411973786,2024-04-15T09:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:10:00Z,2024-04-15,2024-04-30T09:10:00Z,2.8125714645146416,2024-04-15T09:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:20:00Z,2024-04-15,2024-04-30T09:20:00Z,2.797858374838299,2024-04-15T09:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:30:00Z,2024-04-15,2024-04-30T09:30:00Z,2.7756233514419697,2024-04-15T09:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:40:00Z,2024-04-15,2024-04-30T09:40:00Z,2.7458398513594995,2024-04-15T09:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T09:50:00Z,2024-04-15,2024-04-30T09:50:00Z,2.7085053896395728,2024-04-15T09:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:00:00Z,2024-04-15,2024-04-30T10:00:00Z,2.663652534614385,2024-04-15T10:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:10:00Z,2024-04-15,2024-04-30T10:10:00Z,2.6113605602384125,2024-04-15T10:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:20:00Z,2024-04-15,2024-04-30T10:20:00Z,2.551766938856865,2024-04-15T10:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:30:00Z,2024-04-15,2024-04-30T10:30:00Z,2.4850778508950424,2024-04-15T10:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:40:00Z,2024-04-15,2024-04-30T10:40:00Z,2.4115769335081536,2024-04-15T10:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T10:50:00Z,2024-04-15,2024-04-30T10:50:00Z,2.331631585320964,2024-04-15T10:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:00:00Z,2024-04-15,2024-04-30T11:00:00Z,2.245696283115191,2024-04-15T11:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:10:00Z,2024-04-15,2024-04-30T11:10:00Z,2.154312539942617,2024-04-15T11:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:20:00Z,2024-04-15,2024-04-30T11:20:00Z,2.05810533180226,2024-04-15T11:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:30:00Z,2024-04-15,2024-04-30T11:30:00Z,1.9577760292602655,2024-04-15T11:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:40:00Z,2024-04-15,2024-04-30T11:40:00Z,1.8540920780704038,2024-04-15T11:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T11:50:00Z,2024-04-15,2024-04-30T11:50:00Z,1.7478738659848265,2024-04-15T11:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:00:00Z,2024-04-15,2024-04-30T12:00:00Z,1.639979379342207,2024-04-15T12:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:10:00Z,2024-04-15,2024-04-30T12:10:00Z,1.5312873823916404,2024-04-15T12:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:20:00Z,2024-04-15,2024-04-30T12:20:00Z,1.4226799365007274,2024-04-15T12:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:30:00Z,2024-04-15,2024-04-30T12:30:00Z,1.3150251103290362,2024-04-15T12:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:40:00Z,2024-04-15,2024-04-30T12:40:00Z,1.209160713643737,2024-04-15T12:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T12:50:00Z,2024-04-15,2024-04-30T12:50:00Z,1.1058798181231775,2024-04-15T12:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:00:00Z,2024-04-15,2024-04-30T13:00:00Z,1.0059187126889935,2024-04-15T13:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:10:00Z,2024-04-15,2024-04-30T13:10:00Z,0.9099477861951538,2024-04-15T13:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:20:00Z,2024-04-15,2024-04-30T13:20:00Z,0.8185656465408673,2024-04-15T13:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:30:00Z,2024-04-15,2024-04-30T13:30:00Z,0.7322965842416563,2024-04-15T13:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:40:00Z,2024-04-15,2024-04-30T13:40:00Z,0.6515912829764706,2024-04-15T13:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T13:50:00Z,2024-04-15,2024-04-30T13:50:00Z,0.576830482735655,2024-04-15T13:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:00:00Z,2024-04-15,2024-04-30T14:00:00Z,0.5083311253167719,2024-04-15T14:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:10:00Z,2024-04-15,2024-04-30T14:10:00Z,0.4463543682560647,2024-04-15T14:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:20:00Z,2024-04-15,2024-04-30T14:20:00Z,0.3911147507882525,2024-04-15T14:20:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:30:00Z,2024-04-15,2024-04-30T14:30:00Z,0.34278974050511235,2024-04-15T14:30:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:40:00Z,2024-04-15,2024-04-30T14:40:00Z,0.30152888531939026,2024-04-15T14:40:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T14:50:00Z,2024-04-15,2024-04-30T14:50:00Z,0.2674618422115925,2024-04-15T14:50:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T15:00:00Z,2024-04-15,2024-04-30T15:00:00Z,0.24070464879802894,2024-04-15T15:00:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T15:10:00Z,2024-04-15,2024-04-30T15:10:00Z,0.2213637397495264,2024-04-15T15:10:00Z,2024-04-15,a20240415
"Portland, Casco Bay, Maine",2024-04-15T15:20:00Z,2024-04-15,2024-04-30T15:20:00Z,0.20953737859940286,2024-04-15T15:20:00Z,2024-04-15,a20240415
